accepted_name,early_interval,,late_interval,,FAD1,FAD2,LAD1,LAD2,,superinfraclass,infraclass,subclass,superorder,order,suborder,infraorder,parvorder,superfamily,subsuperfamilu,family,suprasubfamily,subfamily,tribe,genus,,
Megatherium_celendinense,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
Megatherium_medinae,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
Megatherium_sundti,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
Megatherium_tarijense,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
Megatherium_urbinai,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
Megistonyx_oreobios,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megalonychidae,,Megalonychinae,,Megistonyx,,
Mesotherium,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Typotheria,,,,,Mesotheriidae,,Mesotheriinae,,Mesotherium,,
Metailurus,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Metailurini,Metailurus,,
Microcavia_aua,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,Caviamorpha,,,Caviidae,,Caviinae,,Microcavia,,
Microtus_hibbardi,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Microtus,,
Microtus_meadensis,Irvingtonian,Irvingtonian,Middle Pleistocene,Middle Pleistocene,1.4,0.21,0.773,0.126,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Microtus,,
Microtus_miguelensis,Rancholabrean,Rancholabrean,Late Pleistocene,Late Pleistocene,0.21,0.014,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Microtus,,
Microtus_morlani,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Microtus,,
Microtus_paroperarius,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Microtus,,
Mimomys_virginianus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Mimomys,https://www.jstor.org/stable/pdf/4523284.pdf?casa_token=44bN2v0HS6sAAAAA:eJgAvPkZRY6k4tRGnwMBPoaGGsLSdS4AN9RxRrOzOR18IPTtPEx-OUc9ZTAKFLqyT8X4tA2MGC_n0r_RU0JKqcZCC4gG2lH5NGSGGygQUJvg5-2cKSw,
Miracinonyx_inexpectatus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Felinae,,Miracinonyx,,
Miracinonyx_studeri,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Felinae,,Miracinonyx,,
Mixotoxodon_larensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Toxodontia,,,,,Toxodontidae,,Haplodontheriinae,,Mixotoxodon,,
Morenelaphus_brachyceros,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Morenelaphus,,
Muknalia minima,Pleistocene,Holocene,Pleistocene,Holocene,2.58,0,2.58,0,NOT OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Muknalia,,
Mustela zibellina,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Carnivora,,,,,,Mustelidae,,,,Mustela,,
Mylodonopsis ibseni,Pleistocene,Holocene,Pleistocene,Holocene,2.58,0,2.58,0,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Mylodonopsis,,
Mylohyus nasutus,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Mylohyus,,
Mylohyus_fossilis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Mylohyus,,
Neochoerus_aesopi,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Rodentia,,,Caviamorpha,,,Caviidae,,Hydrochoerinae,,Hydrochoerus,,
Neochoerus_pinckneyi,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,Caviamorpha,,,Caviidae,,Hydrochoerinae,,Hydrochoerus,,
Neochoerus_sirasakae,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Rodentia,,,Caviamorpha,,,Caviidae,,Hydrochoerinae,,Hydrochoerus,,
Neofiber_leonardi,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,Neofibrini,Neofiber,,
Neolicaphrium_recens,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Litopterna,,,,,,Proterotheriidae,,,,Neolicaphrium,,
Neosclerocalyptus_gouldi,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Neosclerocalyptus,,
Neosclerocalyptus_heusseri,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Neosclerocalyptus,,
Neosclerocalyptus_paskoensis,Lujanian,Lujanian,Late Pleistocene,Late Pleistocene,0.13,0.08,0.126,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Neosclerocalyptus,,
Neotoma_findleyi,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,Muroidea,,Cricetidae,,Neotominae,Neotomini,Neotoma,,
Neotoma_ozarkensis,Irvingtonian,Irvingtonian,Middle Pleistocene,Middle Pleistocene,1.4,0.21,0.773,0.126,OK,,,,,Rodentia,,,,Muroidea,,Cricetidae,,Neotominae,Neotomini,Neotoma,,
Neotoma_pygmaea,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,Muroidea,,Cricetidae,,Neotominae,Neotomini,Neotoma,,
Neotoma_spelaea,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,Muroidea,,Cricetidae,,Neotominae,Neotomini,Neotoma,,
Nothropus_nordenskioldi,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Pilosa,Folivora,,,,,Nothrotheriidae,,,,Nothropus,,
Nothrotherium maquinense,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Pilosa,Folivora,,,,,Nothrotheriidae,,,,Nothrotherium,,
Nothrotherium shastense,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Pilosa,Folivora,,,,,Nothrotheriidae,,,,Nothrotherium,,
Notiomastodon platensis,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Proboscidea,,,Elephantida,,,Gomphotheriidae,,Brevirostrine,,Notiomastodon,,
Ochotona_whartoni,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Lagomorpha,,,,,,Ochotonidae,,,,Ochotona,,
Ocnopus_gracilis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Ocnopus,,
Odocoileus_lucasi,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Odocoileus,,
Odocoileus_peruvianus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Odocoileus,,
Odocoileus_salinae,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Odocoileus,,
Odocoileus_sellardsiae,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Odocoileus,,
Ondatra_annectens,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Ondatra,,
Onychomys_pedroensis,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Onychomys,,
Pachyarmatherium brasiliense,Late Pleistocene,Late Pleistocene,Late Pleistocene,Holocene,0.126,0.0117,0.126,0,NOT OK,,,,,Cingulata,,,,,,Pachyarmatheriidae,,,,Pachyarmatherium,,
Pachyarmatherium_leiseyi,Blancan,Blancan,Early Pleistocene,Middle Pleistocene,4.7,1.4,2.58,0.126,NOT OK,,,,,Cingulata,,,,,,Pachyarmatheriidae,,,,Pachyarmatherium,,
Pachyarmatherium_tenebris,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Pachyarmatheriidae,,,,Pachyarmatherium,,
Paedotherium_bonaerense,Late Miocene,Early Pliocene,Lujanian,Lujanian,11.63,3.6,0.13,0.08,NOT OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Typotheria,,,,,Hegetotheriidae,,Pachyrukhinae,,Paedotherium,https://www.tandfonline.com/doi/abs/10.1080/02724634.1998.10011108,
Paedotherium_typicum,Late Miocene,Late Miocene,Lujanian,Lujanian,11.63,5.333,0.13,0.08,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Typotheria,,,,,Hegetotheriidae,,Pachyrukhinae,,Paedotherium,https://www.tandfonline.com/doi/abs/10.1080/02724634.1998.10011108,
Palaeocavia_impar,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Rodentia,,,Caviamorpha,,,Caviidae,,Caviinae,,Palaeocavia,,
Palaeolama major,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Palaeolama_aequatorialis,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Palaeolama_crassa,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Palaeolama_mirifica,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Palaeolama_paradoxa,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Palaeolama_reissi,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Palaeolama,,
Pampatherium paulacoutoi,Late Pleistocene,Holocene,Late Pleistocene,Holocene,0.126,0,0.126,0,NOT OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Pampatherium,,
Pampatherium_humboldtii,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Pampatherium,,
Pampatherium_mexicanum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Pampatherium,,
Pampatherium_typus,Lujanian,Lujanian,Late Pleistocene,Late Pleistocene,0.13,0.08,0.126,0.0117,OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Pampatherium,,
Panochthus greslebini,Late Pleistocene,Late Pleistocene,Holocene,Holocene,0.126,0.0117,0.0117,0,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Panochthus,,
Panochthus_intermedius,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Panochthus,,
Panochthus_tuberculatus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Panochthus,,
Panthera_atrox,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Carnivora,,,,,,Felidae,,Pantherinae,,Panthera,,
Paraceros_fragilis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,,,Cervus,Place with Cervus,
Paramylodon_harlani,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Paramylodon,,
Parapanochthus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Parapanochthus,,
Perognathus_huastecensis,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,,,Heteromyidae,,Perognathinae,,Perognathus,,
Peromyscus_cochrani,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Peromyscus,,
Peromyscus_cragini,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Peromyscus,,
Peromyscus_cumberlandensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Peromyscus,,
Peromyscus_progressus,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Peromyscus,,
Phenacomys_brachyodus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Phenacomys,,
Platygonus compressus,Late Pliocene,Late Pliocene,Late Pleistocene,Holocene,3.6,2.58,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Platygonus,,
Platygonus_cumberlandensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Platygonus,,
Platygonus_vetus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Tayassuidae,,,,Platygonus,,
Plaxhaplus_canaliculatus,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Plaxhaplous,,
Propanochthus,Chapadmalalan,Chapadmalalan,Lujanian,Lujanian,4.75,3.3,0.13,0.08,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Propanochthus,,
Propraopus punctatus,Holocene,Holocene,Holocene,Holocene,0.0117,0,0.0117,0,OK,,,,,Cingulata,,,,,,Dasypodidae,,Dasypodinae,,Propraopus,,
Propraopus sulcatus,Early Pleistocene,Early Pleistocene,Late Pleistocene,Holocene,2.58,1.8,0.126,0,NOT OK,,,,,Cingulata,,,,,,Dasypodidae,,Dasypodinae,,Propraopus,,
Propraopus_magnus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Dasypodidae,,Dasypodinae,,Propraopus,,
Protocyon troglodytes,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Carnivora,,,,,,Canidae,,Caninae,Canini,Protocyon,,
Protocyon_orcesi,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Carnivora,,,,,,Canidae,,Caninae,Canini,Protocyon,,
Protopithecus brasiliensis,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Primates,,,,,,Atelidae,,Atelinae,,Protopithecus,,
Rangifer caribou,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Rangifer,,
Rhynchotherium_andium,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Proboscidea,,,Elephantida,,,Gomphotheriidae,,Brevirostrine,,Rhynchotherium,,
Ringueletia_simpsoni,Huayquerian,Huayquerian,Lujanian,Lujanian,8.5,5.28,0.13,0.08,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Euphractinae,,Ringueletia,https://www.researchgate.net/publication/279622274_Dasypodidae_Xenarthra_Cingulata_from_the_Cerro_Azul_Formation_late_Miocene_of_La_Pampa_Province_Argentina,
Sairadelphys_tocantinensis,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,Marsupialiformes,Marsupialia,,,Didelphimorphia,,,,,,Didelphidae,,Hyladelphinae,,Sairadelphys,https://www.gbif.org/species/119417358,
Scelidodon chiliense,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Scelidodon,,
Scelidotherium_cuvieri,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Scelidotherium,,
Scelidotherium_leptocephalum,Ensenadan,Ensenadan,Late Pleistocene,Late Pleistocene,2,0.78,0.126,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Scelidotherium,,
Scelidotherium_reyesi,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Scelidotherium,,
Scelidotherium_tarijense,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Scelidotherium,,
Sclerocalyptus_ornatus,Huayquerian,Huayquerian,Middle Pleistocene,Middle Pleistocene,8.5,5.28,0.773,0.126,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Hoplophorus,,
Sigmodon_bakeri,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Sigmodon,,
Smilodon fatalis,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Smilodontini,Smilodon,,
Smilodon_gracilis,Blancan,Blancan,Pleistocene,Pleistocene,4.7,1.4,2.58,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Smilodontini,Smilodon,,
Smilodon_riggii,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Smilodontini,Smilodon,,
Stegomastodon_aftoniae,Early Pleistocene,Early Pleistocene,Middle Pleistocene,Middle Pleistocene,2.58,1.8,0.773,0.126,OK,,,,,Proboscidea,,,Elephantida,,,Gomphotheriidae,,Brevirostrine,,Stegomastodon,,
Stockoceros_conklingi,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Antilocapridae,,Antilocaprinae,Stockoceratini,Stockoceros,,
Stockoceros_onusrosagris,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Antilocapridae,,Antilocaprinae,Stockoceratini,Stockoceros,,
Sylvilagus_leonensis,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Lagomorpha,,,,,,Leporidae,,,,Sylvilagus,,
Synaptomys meltoni,Irvingtonian,Irvingtonian,Middle Pleistocene,Middle Pleistocene,1.4,0.21,0.773,0.126,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Synaptomys,,
Synaptomys_australis,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Synaptomys,,
Synaptomys_bunkeri,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,,,Synaptomys,,
Tadarida_aurispinosa,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Chiroptera,,,,,,Molossidae,,,,Tadarida,,
Tadarida_laticaudata,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Chiroptera,,,,,,Molossidae,,,,Tadarida,,
Tafimys_powelli,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Sigmodontinae,Phyllotini,Tafimys,https://academic.oup.com/jmammal/article/81/1/37/2372925,
Tamias_aristus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,,,Sciuridae,,,,Tamias,,
Tapirus_haysii,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tapirus_merriami,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tapirus_mesopotamicus,Lujanian,Lujanian,Late Pleistocene,Late Pleistocene,0.13,0.08,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tapirus_olivaresi,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tapirus_rondoniensis,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tapirus_veroensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Tapiridae,,,,Tapirus,,
Tetrameryx_shuleri,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Antilocapridae,,Antilocaprinae,Stockoceratini,Tetrameryx,,
Thomomys_microdon,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Rodentia,,,,,,Geomyidae,,,,Thomomys,,
Thomomys_orientalis,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Geomyidae,,,,Thomomys,,
Thomomys_potomacensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Geomyidae,,,,Thomomys,,
Torontoceros_hypogaeus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Torontoceros,,
Toxodon_bilobidens,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Toxodontia,,,,,Toxodontidae,,Toxodontinae,,Toxodon,https://palaeo-electronica.org/content/2017/1930-anatomy-and-systematics-of-thomashuxleya-externa-notoungulata,
Toxodon_gezi,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Notoungulata,Toxodontia,,,,,Toxodontidae,,Toxodontinae,,Toxodon,,
